Date,Narration,Withdrawal,Deposit,Balance,Category
12-04-2026,BESCOM ELECTRICITY BILL,1608,,143800,Utilities
12-04-2026,UPI/DMART,2319,,141481,Groceries
12-04-2026,UPI/ZOMATO,746,,140735,Food
13-04-2026,UPI/DMART,1577,,139158,Groceries
13-04-2026,UPI/UBER TRIP,166,,138992,Transport
14-04-2026,UPI/BIGBASKET,2836,,136156,Groceries
15-04-2026,UPI/DMART,1091,,135065,Groceries
15-04-2026,UPI/JIO PREPAID RECHARGE,749,,134316,Utilities
17-04-2026,UPI/DOMINOS,684,,133632,Food
17-04-2026,UPI/DOMINOS,700,,132932,Food
18-04-2026,UPI/AMAZON PAY,2646,,130286,Shopping
18-04-2026,UPI/MCDONALDS,387,,129899,Food
18-04-2026,UPI/MYNTRA,2378,,127521,Shopping
19-04-2026,IMPS CR-FREELANCE CLIENT,,11886,139407,Income
19-04-2026,UPI/RELIANCE FRESH,1221,,138186,Groceries
19-04-2026,UPI/SWIGGY,551,,137635,Food
21-04-2026,UPI/FLIPKART,4233,,133402,Shopping
21-04-2026,UPI/MYNTRA,1093,,132309,Shopping
22-04-2026,UPI/BLINKIT,1171,,131138,Groceries
23-04-2026,UPI/DOMINOS,447,,130691,Food
24-04-2026,UPI/PETROL PUMP HP,2319,,128372,Transport
25-04-2026,UPI/PETROL PUMP HP,732,,127640,Transport
26-04-2026,UPI/DOMINOS,626,,127014,Food
27-04-2026,UPI/ZOMATO,726,,126288,Food
28-04-2026,UPI/SWIGGY,351,,125937,Food
29-04-2026,UPI/APOLLO PHARMACY,1078,,124859,Health
29-04-2026,UPI/HOSPITAL,1164,,123695,Health
30-04-2026,UPI/ZOMATO,258,,123437,Food
